OBJECTID_12,OBJECTID,PIN15,PermitNum,ISSUE_DATE,COMMENTS,DESCRIPTIO,PID,BLDB_ACTIV,TOTAL_ROOM,BLD_Cost,ESTIMATED_,ESTIMATE_1,SQFT_LAND,SQFT_FLOOR,BLD_Type,Occupancy,TYPE,PmtStatus,BLDB_ACT_1,Name
19,1412,0822-14-33-0001,18105390,1/22/2019 0:00," As of the re-review date, 22 January, 2019,  there are no current conditions or stop work orders for either this application or parcel on the LDO. John Read. Owner on app:  Lime & Lemon Indian Cuisine Cooking fire suppression system permit required.","Suite 150   paint, carpentry, floor, ceiling (demolish one small wall less 100 sf)",101829,ALT,0,18388,3343,0,0,1820,Non-Residential,Assembly (2),NON_RESI,CO Issued,Alterations,O19
20,1413,0822-14-33-0001,20105372,12/15/2020 0:00,"Permit Issued via email. 12/16/20. rlc. Uploaded 12/1/20
Payment notification sent 12/1/20. BH
GC/Architect email: afshin@buildcorpinc.com
Fire Alarm & Sprinkler Permits required. 12/02/20  HFG",Suite 280: Changing 3 exam rooms to 4,101829,ALT,0,17000,5000,1500,0,1883,Non-Residential,Business,NON_RESI,CO Issued,Alterations,O19
21,1414,0822-14-33-0001,1010109,1/26/2010 0:00,"owner on application is Maury Klein, Tenant. Entered by front desk as residential; changed to commercial by Don Moore on 1/15/10.",The UPS store upfit - install modular furniture & shelving,101829,I_ALT,0,10000,4500,0,0,1370,Non-Residential,Mercantile,NON_RESI,CO Issued,Interior Alterations,O19
22,1415,0822-14-33-0001,1110438,3/4/2011 0:00,E-mailed AC @ ste # - 02/18/11. Fire alarm permit required - E FA approved.,SUITE 210 - GADOL DENTAL UPFIT,101829,I_ALT,0,105052.35,22626.66,19394.28,0,1910,Non-Residential,Business,NON_RESI,CO Issued,Interior Alterations,O19
23,1436,0822-18-32-1458,1411688,6/24/2014 0:00,"(bp picked up by gc 8/18/14) As of the initial review date, 9 June, 2014, there are no conditions or stop work orders in the LDO.  John Read.
",DEMO withFORTHCOMING PERMIT,101850,I_ALT,0,29000,0,0,0,4628,Non-Residential,Business,NON_RESI,CO Issued,Interior Alterations,O19
24,1437,0822-18-32-1458,1313270,,"Application Voided due to failure to respond to review comments within reasonable time as reflected on application form.Fire review, CO removed 10/29/13 by T Darling.",EXTERIOR REPAIR,101850,RP,0,29000,0,0,0,5418,Non-Residential,Business,NON_RESI,Void,Repair,O19
25,1438,0822-18-32-1458,1510850,4/16/2015 0:00,"CONTRACT PENDING  Impact fee will be calculated on this permit for the ground floor.  Existing space was retail and proposed is retail also.  There will be a reduction of sq ft. in this unit, so possible credit will be givin...dki; PERMIT PICKED UP 4/20/",RETAIL UPFIT 1ST FLOOR,101850,I_ALT,0,63061,13582,11641,0,2238,Non-Residential,Mercantile,NON_RESI,CO Issued,Interior Alterations,O19
26,1439,0822-18-32-1458,1513682,11/11/2015 0:00,suite # pending - contract pending (bp picked up 11/11/15. bc),SUITE 1-A - GEORGEftS JAVA - COMMERCIAL UPFIT,101850,ALT,0,31610,6808,5836,0,995,Non-Residential,Business,NON_RESI,CO Issued,Alterations,O19
27,1440,0822-18-32-1458,1411930,8/14/2014 0:00,"(bp picked up by gc 8/18/14) Note: impact fee entered for multifamily by entering the 2 residential units, but the retail unit on the ground floor will be a shell on this permit.  Impact fee for ground floor retail unit will be calculated on upfit permit",Upfit first floor to shell only stage; complete the two second floor apartments,101850,I_ALT,0,550537,35375,13900,0,4644,Non-Residential,Mixed Use Residential,RESI,CO Issued,Interior Alterations,O19
28,1441,0822-18-32-1458,17103028,8/30/2017 0:00,Picked up permit 9/11/17 JM,Up fit retail space.,101850,I_ALT,0,8536,1552,0,0,0,Non-Residential,Mercantile,NON_RESI,CO Issued,Interior Alterations,O19
29,1442,0822-18-32-1455,16101089,8/19/2016 0:00,contract pending - lien form pending - The owner listed on the application is John M Thompson. - - - The job address listed on the application was changed by the architect from 758 to 760.,VACANT - WARM WHITE BOX SPACE (NOT FOR OCCUPANCY) space 760,101851,ALT,0,13975,3010,2580,0,2250,Non-Residential,Business,NON_RESI,CO Issued,Alterations,O19
30,1443,0822-18-32-1455,16101090,8/19/2016 0:00,"Owner on Application:  John M. Thompson (919)-549-1621 (contract pending)
Cooking fire suppression system permit required. (re-review fee paid 4/28/16 visa David Camp. rlc)",Waffle House:  Upfit new Waffle House,101851,ALT,0,104524,22513,19297,0,2250,Non-Residential,Business,NON_RESI,CO Issued,Alterations,O19
31,1444,0822-18-32-1455,18101377,4/24/2018 0:00,"D-plans - e-mail - 03/29/18    eng contact on appl - gary@sunderlandeng.com
7666",SNOW FACTORY - INTERIOR COMPLETION FOR ICE CREAM SHOP,101851,I_ALT,0,20020,3640,0,0,2275,Non-Residential,Assembly (2),NON_RESI,CO Issued,Interior Alterations,O19
32,2931,0821-08-87-4896,22102568,7/1/2022 0:00,"Permit docs sent via email 7-1-22 CRW 
owner on appl is Five Points Condo. Assoc.; inspector info missing
No FP Permits required. 05/26/22  HFG

Fire sign off removed as there are no fire related items. AFM MKromer 11/7/2022
FP Inspection removed as",STRUCTURAL REPAIRS,103053,RP,0,90000,0,0,0,0,Non-Residential,Mercantile,NON_RESI,CO Issued,Repair,Q21
33,2932,0821-08-87-4896,1113387,12/20/2011 0:00,"(bp picked up 12/21/11)Applications 1113386-1113392 are together, each with its own set of plans, in bin 445.  Per Anthony Wood at Lee Street Const., the future address of this building is to be 101 E. Chapel Hill Street.",SUITE A - FIT-UP,103053,I_ALT,0,35269,7596,6512,0,702,Non-Residential,Mercantile,NON_RESI,CO Issued,Interior Alterations,Q21
34,2933,0821-08-87-4896,1313811,2/28/2014 0:00,"CO Pending Fire
The application states that this is a shell reconstruction, but the plans show it as fire damage repairs.(bp picked up 5/12/14)",SHELL RECONSTRUCTION FOLLOWING FIRE- NOT FOR OCCUPANCY.,103053,RP,0,43619,0,0,0,0,Non-Residential,Mixed Use Commercial,NON_RESI,CO Issued,Repair,Q21
35,2934,0821-08-87-4896,1313818,,"Application Voided - work is to be incorporated into BP 1410690
The zone is missing on this building!!! John Read.   This address has recently been added and is missing some parcel and inspector information.  The job address on the application is 105 E.",PIZZARIO TORO - DEMOLITION IN ADVANCE OF CONSTRUCTION,103053,I_ALT,0,0,0,0,0,0,Non-Residential, , ,Void,Interior Alterations,Q21
36,2936,0821-08-87-5473,912040,9/8/2009 0:00,No COA required; see attachment.,CORCORAN STREET PARKING GARAGE - REPAIRS,103057,ALT,0,576750,94000,0,0,0,Non-Residential,Storage (1),NON_RESI,CO Issued,Alterations,Q21
37,2937,0821-08-87-5473,16103991,3/22/2017 0:00,"CONT. TBD, CONTRACT PENDING
Fire alarm permit required - A/E FA approved.",CORCORAN STREET PARKING GARAGE- ELEVATOR MODERNIZATION; (3) TRACTION ELEVATORS,103057,ALT,0,532529.9,100748.9,86356.2,0,0,Non-Residential,Storage (2),NON_RESI,CO Issued,Alterations,Q21
38,2965,0821-08-87-5586,1211450,,"Application Expired and Voided due to lack of response to review comments and more than 6 months have passed since submittal/review

The owner listed on the application is Cleveland Brown. Note: located in Design District, but Historic/Design District",BROWNS ON MAIN - BATH UPFIT/INSTALL - INTERIOR ALTERATION,103068,I_ALT,0,6000,500,200,0,40,Non-Residential,Assembly (3),NON_RESI,Void,Interior Alterations,Q21
39,2966,0821-08-87-5586,1213064,10/30/2012 0:00,"Fire review, C/O removed by T Darling 10/12/12. Note: located wihtin the DD district, but Historic/Design District not checked for plans review. Added by Don Moore 10/17/12, e-mail sent to Planning.",UNIT C - BATHROOM REMODEL,103068,I_ALT,0,16956,3083,0,0,58,3-4 Residential Units,Residential (2),MULTI_FAMILY,CO Issued,Interior Alterations,Q21
40,2967,0821-08-87-5586,1510977,,contract pending,TABERNA TAPAS - RENOVATE EXISTING REAR PATIO & NEW AWNING TO COVER DINING OUTDOORS,103068,ADD,0,0,0,0,0,0,Non-Residential, , ,Void,Addition,Q21
41,2968,0821-08-87-5586,16101738,8/1/2016 0:00,See COA1500124 (electrical added to CO sign-off 6/29/17. rlc),Storefront alteration/upgrade.NOT FOR OCCUPANCY,103068,ALT,0,10000,0,0,0,0,Non-Residential,Business,NON_RESI,CO Issued,Alterations,Q21
42,2969,0821-08-87-5586,17100076,4/18/2017 0:00,"STOP WORK ORDER ISSUED, fees adjusted Owner on applicaiton is Durham Snow BLP. Contract pending. 03/23/17 - Christopher Estrada (Tiberna Tapas Diner) paid $20 review fee from 03/17/17 bldg review. - sm Placed on hold 10-24 pending outcome of trade permit",Alteration to existing vacant tentant space. Unit C-4,103068,ALT,0,8000,8500,1500,0,0,Non-Residential,Assembly (2),NON_RESI,CO Issued,Alterations,Q21
43,2970,0821-08-87-5586,20100718,3/16/2020 0:00,"assuming issued since inspection had and passed 4-23-20 CRW
RSR",Interior Demo with forthcoming permit Due to Damage from Water Leak,103068,I_ALT,0,8000,0,0,0,29563,Non-Residential,Assembly (2),NON_RESI,Issued,Interior Alterations,Q21
44,2971,0821-08-87-5586,20102506,7/8/2020 0:00,"GC Contact on Appl: ron@vci-nc.com
Sent out by BOX MPC 7/8/20

No FP Permits required 06/09/20  HFG","Rebuild of Demolished  restroom from water damage. Scope includes drywall, structural framing, ceramic tile , mechanical, plumbing, and electrical work.",103068,I_ALT,0,45454,5040,1552,0,380,Non-Residential,Assembly (2),NON_RESI,CO Issued,Interior Alterations,Q21
45,2972,0821-08-87-5586,18100938,4/23/2018 0:00,"Owner on app:  Siriwat Aparo:  (910) 603-2557 contract pending
Cooking fire suppression system permit required.
","Replace cooking equipment, paint, electrical, plumbing",103068,I_ALT,0,6000,5000,0,0,2400,Non-Residential,Assembly (2),NON_RESI,CO Issued,Interior Alterations,Q21
46,2973,0821-08-87-5630,910352,2/25/2009 0:00,Owner on application is David Scarborough. Fire review deleted by Don Moore.,replacement windows - 4 - mulled as one unit - owner phone number is 384-5820,103086,ALT,0,6000,0,0,0,0,Non-Residential,Business,NON_RESI,CO Issued,Alterations,Q21
47,2974,0821-08-87-5611,1211323,6/14/2012 0:00,"The owner listed on the application is Sci-Med Solutions. Note: this condo crosses a property line, but a condominium agreement exists (stapled to application copy) which allows them to be treated as the same property - Don Moore.- GC picked up bldg perm",SCIMED SOLUTIONS INC;  MAKE DOOR AND LANDING,103087,ALT,0,9981,0,0,0,0,Non-Residential,Business,NON_RESI,CO Issued,Alterations,Q21
48,2975,0821-08-87-5611,16104441,,"Voided for lack of timely response by applicant 9-26-2017 WCB
contract pending
Fire review, inspection removed 11/18/16 TFD.",replace 4 windows on second floor,103087,ALT,0,0,0,0,0,0,Non-Residential,Residential (2),MULTI_FAMILY,Void,Alterations,Q21
49,2976,0821-08-87-4673,810047,2/20/2008 0:00,See attached Historic Preservation Commission approval.,SELECTIVE INTERIOR DEMOLITION PRIOR TO BUILDING PERMIT SUBMITTAL,103088,I_ALT,0,6000,0,0,6018,6000,Non-Residential,Business,NON_RESI,CO Issued,Interior Alterations,Q21
50,2977,0821-08-87-4673,810406,3/31/2008 0:00, ,REHAB CODE - SNOW BUILDING RENOVATION OF BATHROOMS,103088,I_ALT,0,745105,185500,42000,0,27098,Non-Residential,Business,NON_RESI,CO Issued,Interior Alterations,Q21
51,2978,0821-08-87-4673,911554,7/23/2009 0:00,"Sprinkler, fire alarm, cooking fire suppression system permits required. Fire alarm layout approved. Occupant load for public area is 116 persons. Note: COA attached is not required for issuance of this permit. Health Dept. omitted from permit issuance",Replaced by permit 0911862. BEYU CAFE - ALTERATION TO EXISTING SPACE (Note: COA attached is not required for issuance of this permit.),103088,I_ALT,0,255000,40000,45000,0,3000,Non-Residential,Assembly (2),NON_RESI,Void,Interior Alterations,Q21
52,2979,0821-08-87-4673,911862,7/31/2009 0:00,"Permit number 0911554 is being replaced by this permit. No work has taken place. COA granted and attached to permit #0911554, although this permit is not for exterior work.",CHANGE OF CONTRACTOR - RE:  0911554 - BEYU CAFE - ALTERATION TO EXISTING SPACE (Note: COA attached is not required for issuance of this permit.),103088,I_ALT,0,168000,32000,20000,0,3000,Non-Residential,Assembly (2),NON_RESI,CO Issued,Interior Alterations,Q21
53,2980,0821-08-87-4673,1210021,2/20/2012 0:00,owner on appl. is Maverick Partners-Cary Greene,BEYU CAFE - INSTALL SEATING AREA,103088,ALT,0,2500,500,0,0,0,Non-Residential,Assembly (2),NON_RESI,CO Issued,Alterations,Q21
54,2981,0821-08-87-4673,1513151,10/21/2015 0:00,"contract pending - The owner listed on the application is Carey Greene.
Sprinkler permit required.
11/17/15: Per DFM Jody Morton sprinkler permit NR - FA permit required.","ARCANA - SUITE 002 - INSTALLATION OF 2 SINKS & PUMP, CONSTRUCTION OF A 20FT X 2.5FT BAR",103088,I_ALT,0,2700,0,0,0,1285,Non-Residential,Business,NON_RESI,CO Issued,Interior Alterations,Q21
55,2982,0821-08-87-4673,18101999,5/4/2018 0:00,"D-plans email 5/3/18 architect email:  jmartinson@mhaworks.com
City Fire review removed authority of Jody Morton WCB
Owner on application is Hem Spire LLC",Administrative Permit.  Temporary Use exhibit/event at ground floor expires 6-3-18,103088,OT,0,1,0,0,0,0,Non-Residential,Business,NON_RESI,Issued,Other,Q21
56,2983,0821-08-87-4673,18104364,11/14/2018 0:00,"D-plans - 10/03/18    gc contact on appl - jmoore@gatewaybuildco.com
Sprinkler, fire alarm permits required - A/E FA approved.(picked up 11/15/18)",BASEMENT INTERIOR ALTERATION,103088,I_ALT,0,150591,32435,27801,0,2183,Non-Residential,Business,NON_RESI,CO Issued,Interior Alterations,Q21
57,2984,0821-08-87-4673,22102949,,"Uploaded 6/17/22. BH
GC email on app: amoore@gatewaybuildco.com",Restaurant Kitchen alteration,103088,I_ALT,0,0,0,0,0,0,Non-Residential,Non-Residential,NON_RESI,Void,Interior Alterations,Q21
58,2985,0821-08-87-4673,17104026,,"Voided 7-09-18 6+ Mos no activity WCB
Owner on app:  Max Joseph:  917-943-7105 rjackson@bakerroofing.com
Fire review, inspection removed 10/16/17 TFD.",re-roof,103088,C_ROOF,0,23946,0,0,0,0,Non-Residential,Business,NON_RESI,Void,Commercial - Roofing/Re-Roofing,Q21
59,2986,0821-08-87-4673,18102408,8/14/2018 0:00,"D-plans - e-mail - 05/25/18    contract pending    arch contact on appl - jmartinson@mhaworks.com
Sent email 7-5-18 (picked up 9/11/18)",SOUTHwest ELEVATION WINDOWS REPLACEMENT. This is a winidow only permit. The penthouse and changes to fire escape are not covered.,103088,ALT,0,220579,0,0,0,0,Non-Residential,Business,NON_RESI,Issued,Alterations,Q21
60,2987,0821-08-87-3689,710133,2/20/2008 0:00,Interior work only; no Certificate of Appropriateness required,FIVE POINTS CAFE - UPFIT (under 50 persons occupancy; type B occupancy),103092,I_ALT,0,5600,2300,3600,0,1400,Non-Residential,Business,NON_RESI,CO Issued,Interior Alterations,Q21
61,2988,0821-08-87-3689,21102270,9/8/2021 0:00,**** 09/08/21 - permit package e-mailed to gc - sm ****                                                                    **** 08/17/21 - gc hs changed scope and submtted new plans - all disciplines - per TS an additional $600 scheduling fee has been ch,Remedy Room Alteration - First Floor Interior Upfit (with no outside work),103092,I_ALT,0,44307,11760,16080,0,1583,Non-Residential,Business,NON_RESI,CO Issued,Interior Alterations,Q21
62,2989,0821-08-87-3689,21105807,12/6/2021 0:00,**** 12/07/21 - permit package e-mailed to gc - sm ****                                                                            D-plans (enhanced rev req - target date 12/06/21 - no in-person meetings until Corona Virus limitations are finished) 11/23,Second Floor - Suites A & B - Infill existing pass through with one hour rated wall and door,103092,I_ALT,0,900,0,0,0,0,Non-Residential,Business,NON_RESI,CO Issued,Interior Alterations,Q21
63,2990,0821-08-87-3730,1112825,9/19/2011 0:00,see attached for change in scope,"CHANGE OUT EXISTING PLUMBING, LIGHTING, REFRAME 1 WALL, FLOOR REPAIR (see attached)",103094,I_ALT,0,4000,1500,0,0,0, ,Single Family,RESI,CO Issued,Interior Alterations,Q21
64,2991,0821-08-87-3711,1411821,7/22/2014 0:00,"CO Pending Hist/Des Dist
PERMIT PICKED UP 7/23/14.",SUITE 1 - VERT AND VOGUE - RETAIL FIT-UP,103096,ALT,0,140654,30294,25968,0,2152,Non-Residential,Mercantile,NON_RESI,CO Pending,Alterations,Q21
65,2992,0821-08-87-3711,912279,10/7/2009 0:00,owner on application is Clearwater LLC. Interior work; no COA required.,"THE REPUBLIC BAR- upfit, add bathroom wc; 3 compartment sink and hand sink. - Rehab Code",103096,I_ALT,0,500,0,0,0,2165,Non-Residential,Assembly (2),NON_RESI,CO Issued,Interior Alterations,Q21
66,2993,0821-08-87-3711,1411129,5/9/2014 0:00," (bp picked up 5/12/14) As of the initial review date, 22 April , 2014, there are no conditions or stop work orders in the LDO.  John Read.
Fire review and inspection removed 4/28/14 TFD.
",VERT & VOGUE - DEMOLITION OF INTERIOR FINISHES IN ADVNCE OF PERMIT,103096,I_ALT,0,3500,0,0,0,6255,Non-Residential,Business,NON_RESI,CO Issued,Interior Alterations,Q21
67,2994,0821-08-87-2722,911967,8/21/2009 0:00,Interior work only; no COA required.,SABHAT CONVENIENCE STORE - INSTALL TOILETS,103099,I_ALT,0,5000,5000,0,0,175,Non-Residential,Mercantile,NON_RESI,CO Issued,Interior Alterations,Q21
68,2995,0821-08-87-2722,15103903,1/25/2016 0:00,"*Nothing in Streamline* JLG-Fire

CO Pending Fire
Sprinkler, fire alarm permits required - A/E FA approved. (this application was logged in as suite 100, but should be 106 per contractor- changed while still under review - 11.9.15-DB)       11/18/15",SUITE 106 - KIMBRELL BUILDING FIT-UP,103099,I_ALT,0,100,0,0,0,2630,Non-Residential,Mercantile,NON_RESI,CO Issued,Interior Alterations,Q21
69,2996,0821-08-87-2722,15104103,1/11/2016 0:00,"Sprinkler, fire alarm permits required - no plans provided at time of BP application.",TRACKING - RE:  1511884,103099,ALT,0,100,0,0,0,0,Non-Residential,Mixed Use Commercial,NON_RESI,Void,Alterations,Q21
70,2997,0821-08-87-2722,1510461,3/15/2015 0:00,Fire review and inspection removed 2/19/15 TFD.,KIMBRELL BUILDING - WINDOW REPLACEMENT,103099,ALT,0,167575,0,0,0,28780,Non-Residential,Assembly (2),NON_RESI,CO Issued,Alterations,Q21
71,2998,0821-08-87-2722,1513124,11/19/2015 0:00,"contract pending
Sprinkler, fire alarm permits required - A/E FA approved (10/23/15 Fire alarm work under permit 15600767). (bp picked up 11/20/15. rlc)
","3RD FLOOR - UNITS 1, 2, 3  - 3RD FLOOR APARTMENTS IN EXISTING BUILDING - CHANGE OF USE",103099,COO,0,233350,50260,43080,0,6869,Non-Residential,Residential (2),MULTI_FAMILY,CO Issued,Change of Occupancy,Q21
72,2999,0821-08-87-2722,16104202,11/15/2016 0:00,"contract pending
Sprinkler, fire alarm permits required - no plans provided at time of BP application.",Suite 102   conference space in bldg./walls & ceiling finish in room already framed,103099,I_ALT,0,15540,2940,2520,0,547,Non-Residential,Business,NON_RESI,CO Issued,Interior Alterations,Q21
73,3000,0821-08-87-2722,17100416,3/21/2017 0:00,"contract pending (see note on appl pckg)   gc contact on appl - lucy.stokes19@yahoo.com
Sprinkler, fire alarm permits required - no plans provided at time of BP application.",FIT-UP 2ND FLOOR,103099,I_ALT,0,126685,27286,23388,0,0,Non-Residential,Business,NON_RESI,CO Issued,Interior Alterations,Q21
74,3001,0821-08-87-2722,16103162,8/24/2016 0:00,"Sprinkler, fire alarm permits required - no plans provided at time of BP application. Note: GC cost on application exceeds the standard 65% used when no break down is given; amounts shown on application used. (BP picked up 8.25.16 CG)",SUITE 300 - FIT-UP 3RD FLOOR (NEW BLDG ONLY) - 1/2 OF THE FLOOR (RE: shell building permit 1511884),103099,I_ALT,0,157000,30000,8500,0,3782,Non-Residential,Business,NON_RESI,Cond. CO Issued,Interior Alterations,Q21
75,3002,0821-08-87-2722,21105546,11/18/2021 0:00,"L.75643   -   License Not Active
owner on app is Lucy Stokes
Fire Alarm & Sprinkler System Permits required. 11/05/21  HFG  ***permit issued via box.com 11.19.21 db***",KIMBRELL BLDG INTERIOR ALTERATIONS 2ND AND 3RD FLR,103099,ALT,0,88500,0,0,0,906,Non-Residential,Business,NON_RESI,Void,Alterations,Q21
76,3003,0821-08-87-2722,1511884,8/4/2015 0:00,"CO Pending Fire
See upfits for ELEC appls
Notified GC, via e-mail, that the complete job address must be verified before this application can complete the review process. - 06/03/15 - GC confirmed that all 4 addresses listed on the App B are being perm",101-103-105-107 W. CHAPEL HILL - KIMBRELLftS BUILDING - SHELL RENOVATIONS- NOT FOR OCCUPANCY,103099,ALT,0,357500,77000,66000,0,28780,Non-Residential,Mixed Use Commercial,NON_RESI,CO Issued,Alterations,Q21
