OBJECTID,TARGET_FID,id,permit_,permit_typ,review_typ,date_appli,time_appli,date_issue,time_issue,processing,street_num,street_dir,street_nam,suffix,work_descr,building_f,zoning_fee,other_fee_,subtotal_p,building_2,zoning_f_2,other_fe_2,subtotal_u,building_3,zoning_f_3,other_fe_3,subtotal_w,total_fee,community_,census_tra,ward,xcoordinat,ycoordinat,latitude,longitude,Name
25,10749,2189012,100353973,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,7/16/2010 0:00,00:00.0,7/16/2010 0:00,00:00.0,0,908,S,OAKLEY,BLVD,"REPLACE ROOF-TEAR OFF, AND REPLACE DOWNSPOUTS",125,50,0,175,0,0,0,0,0,0,0,0,175,28,2828,25,1161153.724,1895867.91,41.86994686,-87.68382634,260/275
26,10769,2189713,100354398,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,7/19/2010 0:00,00:00.0,7/19/2010 0:00,00:00.0,0,833,S,OAKLEY,BLVD,CORRECT ADDRESS FOR PERMIT 100353973 TO 833 S OAKLEY,50,0,0,50,0,0,0,0,0,0,0,0,50,28,2829,25,1161229.032,1896034.288,41.87040185,-87.68354523,260/275
27,10942,2196089,100357847,PERMIT - RENOVATION/ALTERATION,SELF CERT,10/18/2010 0:00,00:00.0,10/20/2010 0:00,00:00.0,2,833,S,OAKLEY,BLVD,"INTERIOR ALTERATIONS TO EXISTING TWO DWELLING UNIT BLDG PER ARCH. PLANS. PLUMB., ELECT., HVAC., INCLUDED.",882.52,75,0,957.52,0,0,0,0,0,0,0,0,957.52,28,2829,25,1161229.032,1896034.288,41.87040185,-87.68354523,260/275
28,11131,2203503,100361694,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,9/10/2010 0:00,00:00.0,9/20/2010 0:00,00:00.0,10,3234,W,26TH,ST,REPAIR EXISTING MASONRY BUILDING WALL DAMAGED BY CAR IMPACT PER PLANS. NO ELECTRICAL OR PLUMBING WORK.,300,75,0,375,0,0,0,0,0,0,0,0,375,30,3008,22,1155094.785,1886589.649,41.84460992,-87.70631934,157
29,11563,2220545,100370399,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,11/8/2010 0:00,00:00.0,12/22/2010 0:00,00:00.0,44,5807,W,HURON,ST,"ADDRESS ALL CODE VIOLATIONS & DECONVERT 2DU INTO SFR, INTERIOR ALTERATION AND REPAIRS EXISTING REAR FRAME PORCH AS PER PLANS.",750,75,0,825,0,0,0,0,0,0,0,0,825,25,2514,29,1137516.974,1904013.532,41.89275752,-87.77040882,268
30,12184,2249090,100382047,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,2/17/2011 0:00,00:00.0,2/17/2011 0:00,00:00.0,0,1412,W,CHICAGO,AVE,"REINSTATEMENT & CHANGE OWNER INFORMATION, GENERAL CONTRACTOR, HVAC CONTRACTOR & PLUMBING CONTRACTOR FOR ERECT 6 D.U. WITH 1ST FLOOR OFFICE  MASONRY BUILDING WITH  ATTACHED MASONRY GARAGES, 6ft HIGH 3ft BY 10ft MASONRY TRASH ENCLOSURE.",2905.94,0,200,3105.94,0,0,0,0,0,0,0,0,3105.94,24,2420,27,1166763.767,1905496.497,41.89625011,-87.66295411,292
31,12376,2256801,100385518,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,5/4/2011 0:00,00:00.0,8/25/2011 0:00,00:00.0,113,3331,W,26TH,ST,INTERIOR ALTERATION FOR RESTAURANT REMODELING. ON FIRST FLOOR,468.27,75,0,543.27,0,0,0,0,0,0,0,0,543.27,30,3015,22,1154467.151,1886493.276,41.84435801,-87.70862525,157
32,12700,2268480,100391529,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,4/26/2011 0:00,00:00.0,5/5/2011 0:00,00:00.0,9,5832,W,HURON,ST,INT. RENOVATION TO A SINGLE FAMILY HOME AS PER HOME OWNERS PLANS,125,75,0,200,0,0,0,0,0,0,0,0,200,25,2514,29,1137240.872,1904087.715,41.89296605,-87.77142106,268
33,12727,2269590,100392024,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,4/29/2011 0:00,00:00.0,4/29/2011 0:00,00:00.0,0,1807,W,NORTH,AVE,MASONRY WORK ONLY - REMOVE AND REPLACE MASONRY NORTH WALL AS PER PLANS.,357,75,0,432,0,0,0,0,0,0,0,0,432,24,2415,1,1164019.42,1910648.826,41.91044687,-87.67288785,324
34,13080,2282019,100397988,PERMIT - RENOVATION/ALTERATION,TRADITIONAL DEVELOPER SERVICES,6/10/2011 0:00,00:00.0,6/10/2011 0:00,00:00.0,0,1310,S,ASHLAND,AVE,"Selective renovation to classrooms, toilet rooms, and locker rooms.",0,0,0,0,0,0,0,0,4725,75,0,4800,4800,28,2840,2,1165892.869,1893999.307,41.86471954,-87.66648084,55
35,13155,2284277,100399049,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,6/17/2011 0:00,00:00.0,6/17/2011 0:00,00:00.0,0,5832,W,HURON,ST,"REVISION TO PERMIT # 100391529 TO CHANGE PLUMBING CONTRACTOR (ZUNIGAftS PLUMBING, INC.)",50,0,0,50,0,0,0,0,0,0,0,0,50,25,2514,29,1137240.872,1904087.715,41.89296605,-87.77142106,268
36,13418,2294077,100403740,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,7/22/2011 0:00,00:00.0,7/22/2011 0:00,00:00.0,0,3429,W,HIRSCH,ST,"REPLACE 36 LINTELS (LESS THAN 6FT), REPLACE BRICKS AND TUCKPOINT-NO WORK OVER PUBLIC WAY",325,75,0,400,0,0,0,0,0,0,0,0,400,23,2309,26,1153118.583,1909054.928,41.90629642,-87.71297587,306
37,14251,2323008,100417569,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,11/3/2011 0:00,00:00.0,11/3/2011 0:00,00:00.0,0,1363,W,CHICAGO,AVE,REPAIRREPLACE 325 BRICKS. ALL WOK NON STRUCTURAL.,250,75,0,325,0,0,0,0,0,0,0,0,325,24,2434,27,1167062.564,1905425.423,41.89604867,-87.66185873,292
38,14820,2345021,100426852,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,3/12/2012 0:00,00:00.0,6/21/2012 0:00,00:00.0,101,1754,N,CENTRAL,AVE,INSTALLATION OF A PRE-ENGINEERED CANOPY OVER GASOLINE DISPENSING ISLANDS AS PER PLANSELECTRICAL WORK UNDER PERMIT # 100433248,750,75,0,825,0,0,0,0,0,0,0,0,825,25,250400,29,1138728.106,1911341.754,41.91284515,-87.76578268,16
39,14848,2345686,100427198,PERMIT - NEW CONSTRUCTION,SELF CERT,2/16/2012 0:00,00:00.0,3/12/2012 0:00,00:00.0,25,1411,W,HURON,ST,ERECT 3 D.U. MASONRY BUILDING WITH ROOF TOP DECK & DETACHED 3 CAR MASONRY GARAGE WITH ROOF TOP DECK AS PER PLAN. *CONDITIONAL APPROVAL SUBJECT TO AUDIT AND FIELD INSPECTIONS*,1534.24,150,2192,3876.24,0,0,0,0,0,0,0,0,3876.24,24,2433,27,1166800.643,1904753.781,41.89421125,-87.66283999,292
40,14933,2347570,100428092,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,2/29/2012 0:00,00:00.0,4/9/2012 0:00,00:00.0,40,3241,W,26TH,ST,"INTERIOR ALTERATION TO ONE STORY MERCANTILE SPACE, REPLACE STOREFRONT PANELS, REAR  2 CAR GARAGE REPAIRS PER PLANS",847.78,75,625,1547.78,0,0,0,0,0,0,0,0,1547.78,30,3015,22,1155022.019,1886507.781,41.84438672,-87.70658858,157
41,15215,2356011,100432360,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,5/30/2012 0:00,00:00.0,7/5/2012 0:00,00:00.0,36,1406,W,SUPERIOR,ST,"INTERIOR ALTERATION FOR 6 D.U., REPLACE EXISTftG REAR OPEN WOOD PORCH WITH NEW OPEN STEEL PORCH FOR EXISTING 3STORY BRICK BUILDING WITH BASEMENT AS PER PLAN. CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION.",1746.02,75,0,1821.02,0,0,0,0,0,0,0,0,1821.02,24,243300,27,1166833.054,1905164.19,41.89533675,-87.66270917,292
42,15451,2362794,100435792,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,5/29/2012 0:00,00:00.0,5/29/2012 0:00,00:00.0,0,1907,W,NORTH,AVE,FRONT ELEVATION REPAIRS AS PER PLANS,300,75,0,375,0,0,0,0,0,0,0,0,375,24,241500,1,1163354.318,1910629.988,41.91040921,-87.6753317,324
43,15855,2373402,100441661,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,6/25/2012 0:00,00:00.0,9/12/2012 0:00,00:00.0,79,723,N,ADA,ST,INTERIOR RENOVATION TO EXISTING 3 STORY 6 UNIT RESIDENTIAL BUILDING TO DUPLEX 1ST FLOOR UNITS INTO BASEMENT LEVEL AS PER PLANS. NO CHANGE TO EXISTING HVAC UNITS - DUCT EXTENSIONS ONLY,600.03,0,0,600.03,0,0,0,0,0,0,0,0,600.03,24,243400,27,1167236.656,1905066.06,41.89505881,-87.66122967,292
44,17009,2410115,100460287,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,11/5/2012 0:00,00:00.0,6/25/2013 0:00,00:00.0,232,3259,W,26TH,ST,RENOVATION OF EXISTING RETAIL SPACE. DIVIDE SPACE INTO BUSINESS OFFICE USE AND RETAIL USE FOR inSTATE FARM AGENCYin. INTERIOR BUILD-OUT AND EXTERIOR RENOVATION.,1620.12,75,0,1695.12,0,0,0,0,0,0,0,0,1695.12,30,840800,22,1154797.839,1886501.711,41.84437455,-87.70741145,157
45,17033,2410749,100460593,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,11/15/2012 0:00,00:00.0,10/29/2012 0:00,00:00.0,-17,742,S,OAKLEY,BLVD,"DE-CONVERT EXISTING 2 STORY, 2DU, IV-A APARTMENT BUILDING W/BASEMENT INTO SFR AS PER PLANS AND ERECT REAR 17.58ft X 10ft OPEN DECK",1183.67,50,0,1233.67,0,0,0,0,0,0,0,0,1233.67,28,282800,2,1161134.711,1896532.951,41.87177219,-87.68387767,260/275
46,17730,2432088,100471106,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,1/11/2013 0:00,00:00.0,7/15/2013 0:00,00:00.0,185,1447,S,ASHLAND,AVE,INTERIOR ALTERATIONS FOR ACCESSIBILITY AND LIFE SAFETY.  INSTALLATION OF NEW EMERGENCY GENERATOR.  INSTALLATION OF NEW FIRE ALARM SYSTEM.  INSTALLATION OF SPRINKLER / STANDPIPE RISERS WITH SPRINKLERS IN ALL COMMON AREAS.,15660,50,0,15710,0,0,0,0,0,0,0,0,15710,28,842900,2,1166002.277,1892964.162,41.86187668,-87.66610874,55
47,17997,2441140,100475231,PERMIT - NEW CONSTRUCTION,SELF CERT,2/21/2013 0:00,00:00.0,2/21/2013 0:00,00:00.0,0,724,N,ADA,ST,SELF CERTIFICATION REVIEW: ERECT FRAME SINGLE FAMILY RESIDENCE (4A CONSTRUCTION) WITH DETACHED 2 CAR FRAME GARAGE (4A CONSTRUCTION) AS PER PLAN.,1300,150,0,1450,0,0,0,0,0,0,0,0,1450,24,243400,27,1167156.176,1905084.708,41.89511171,-87.66152472,292
48,18556,2457201,100482976,PERMIT - NEW CONSTRUCTION,SELF CERT,4/18/2013 0:00,00:00.0,4/18/2013 0:00,00:00.0,0,1821,W,WABANSIA,AVE,"SELF CERTIFICATION REVIEW: ERECT FRAME SINGLE FAMILY RESIDENCE (4A CONSTRUCTION) WITH ROOF TOP DECK, DETACHED 2 CAR FRAME GARAGE (4A CONSTRUCTION) WITH ROOF TOP DECK AS PER PLAN.",1300,150,0,1450,0,0,0,0,0,0,0,0,1450,24,240300,32,1163840.178,1911307.735,41.91225875,-87.67352769,324
49,19127,2471286,100490500,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,5/14/2013 0:00,00:00.0,5/14/2013 0:00,00:00.0,0,5719,W,HURON,ST,BATHROOM MODIFICATIONS REMOVE BATHRUB INSTALL SHOWER RELOCATE SHOWER WASTE INCREASE IT SIZE TO 2in DIAMETER RECESS SUB FLOOR FINISH ALL SHOWER WALLS INSTALL GRAB BARS HANDHELD SHOWER,0,0,0,0,0,0,0,0,175,50,0,225,225,25,251400,29,1137983.638,1904023.694,41.89277699,-87.76869468,268
50,19151,2472166,100490894,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,6/11/2013 0:00,00:00.0,7/12/2013 0:00,00:00.0,31,3340,W,POLK,ST,"REPLACE EXISTING OPEN WOOD FRAME REAR PORCH & STAIRS. SAME SIZE, LAYOUT & LOCATION",125,75,0,200,0,0,0,0,0,0,0,0,200,27,837300,24,1154050.716,1896207.692,41.87102378,-87.70989465,244
51,19512,2761478,100653723,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,6/6/2016 0:00,00:00.0,6/6/2016 0:00,00:00.0,0,1447,S,ASHLAND,AVE,REVISION TO PERMIT 100622002 TO CHANGE GENERAL CONTRACTOR TO A-KIA CONSTRUCTION & REMODELING LLC,0,0,50,50,0,0,0,0,0,0,0,0,50,28,842900,28,1166002.277,1892964.162,41.86187668,-87.66610874,55
52,19718,2484352,100497590,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,6/28/2013 0:00,00:00.0,6/28/2013 0:00,00:00.0,0,749,S,OAKLEY,BLVD,TUCKPOINTING AND REPAIRS TO MASONRY FACADE.,0,0,0,0,0,0,0,0,300,0,0,300,300,28,838200,25,1161216.391,1896475.332,41.87161238,-87.68357939,260/275
53,19807,2486782,100498943,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,7/31/2013 0:00,00:00.0,8/7/2013 0:00,00:00.0,7,1900,W,WABANSIA,AVE,REMOVE ENTIRE FRONT WEST 1 STORY MASONRY ENTRANCE AS PER VIOLATIONS. REPAIR AND TUCKPOINT REMAINING MASONRY WALLS AFTER DEMO AS NEEDED.,300,50,0,350,0,0,0,0,0,0,0,0,350,24,240300,32,1163402.308,1911375.764,41.91245466,-87.67513439,324
54,19996,2491850,100501741,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,8/20/2013 0:00,00:00.0,9/20/2013 0:00,00:00.0,31,1359,W,CHICAGO,AVE,"INTERIOR REMODELING ON 1ST FLOOR OF BRICK BUILDING AS PER PLANS TO ADDRESS VIOLATIONS. PERMIT COVERS 1355 TO 1357 W CHICAGO AVE, CHICAGO",300,75,0,375,0,0,0,0,0,0,0,0,375,24,243400,27,1167107.247,1905426.765,41.89605139,-87.66169459,292
55,20539,2502013,100507547,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,10/9/2013 0:00,00:00.0,12/3/2013 0:00,00:00.0,55,1400,W,CHICAGO,AVE,"ERECT A NEW 4 STORY MASONRY BUILDING , 1ST FLOOR OFFICE AND 2 RESIDENTIAL UNITS, A NEW 3 CAR MASONRY GARAGE 26ft-6in X 20 AND SITE WORK AS PER PLANS.",1900,225,1880,4005,0,0,0,0,0,0,0,0,4005,24,242000,27,1166896.454,1905500.589,41.89625849,-87.66246666,292
